f,Trace 1,Trace 2,Trace 3
12800000.000, -7.49890e+01, -2.14748e+06, -2.14748e+06
12850000.000, -7.49050e+01, -2.14748e+06, -2.14748e+06
12900000.000, -7.46470e+01, -2.14748e+06, -2.14748e+06
12950000.000, -7.44460e+01, -2.14748e+06, -2.14748e+06
13000000.000, -7.47820e+01, -2.14748e+06, -2.14748e+06
13050000.000, -7.48590e+01, -2.14748e+06, -2.14748e+06
13100000.000, -7.47270e+01, -2.14748e+06, -2.14748e+06
13150000.000, -7.46960e+01, -2.14748e+06, -2.14748e+06
13200000.000, -7.46480e+01, -2.14748e+06, -2.14748e+06
13250000.000, -7.48870e+01, -2.14748e+06, -2.14748e+06
13300000.000, -7.49410e+01, -2.14748e+06, -2.14748e+06
13350000.000, -7.46040e+01, -2.14748e+06, -2.14748e+06
13400000.000, -7.46460e+01, -2.14748e+06, -2.14748e+06
13450000.000, -7.48700e+01, -2.14748e+06, -2.14748e+06
13500000.000, -7.48350e+01, -2.14748e+06, -2.14748e+06
13550000.000, -7.45960e+01, -2.14748e+06, -2.14748e+06
13600000.000, -7.47900e+01, -2.14748e+06, -2.14748e+06
13650000.000, -7.46340e+01, -2.14748e+06, -2.14748e+06
13700000.000, -7.46380e+01, -2.14748e+06, -2.14748e+06
13750000.000, -7.47630e+01, -2.14748e+06, -2.14748e+06
13800000.000, -7.47000e+01, -2.14748e+06, -2.14748e+06
13850000.000, -7.48680e+01, -2.14748e+06, -2.14748e+06
13900000.000, -7.47430e+01, -2.14748e+06, -2.14748e+06
13950000.000, -7.45820e+01, -2.14748e+06, -2.14748e+06
14000000.000, -7.46990e+01, -2.14748e+06, -2.14748e+06
14050000.000, -7.48860e+01, -2.14748e+06, -2.14748e+06
14100000.000, -7.49360e+01, -2.14748e+06, -2.14748e+06
14150000.000, -7.48110e+01, -2.14748e+06, -2.14748e+06
14200000.000, -7.48160e+01, -2.14748e+06, -2.14748e+06
14250000.000, -7.45420e+01, -2.14748e+06, -2.14748e+06
14300000.000, -7.46180e+01, -2.14748e+06, -2.14748e+06
14350000.000, -7.44800e+01, -2.14748e+06, -2.14748e+06
14400000.000, -7.46120e+01, -2.14748e+06, -2.14748e+06
14450000.000, -7.46760e+01, -2.14748e+06, -2.14748e+06
14500000.000, -7.49430e+01, -2.14748e+06, -2.14748e+06
14550000.000, -7.46760e+01, -2.14748e+06, -2.14748e+06
14600000.000, -7.46210e+01, -2.14748e+06, -2.14748e+06
14650000.000, -7.47030e+01, -2.14748e+06, -2.14748e+06
14700000.000, -7.45800e+01, -2.14748e+06, -2.14748e+06
14750000.000, -7.47930e+01, -2.14748e+06, -2.14748e+06
14800000.000, -7.48230e+01, -2.14748e+06, -2.14748e+06
14850000.000, -7.44690e+01, -2.14748e+06, -2.14748e+06
14900000.000, -7.45110e+01, -2.14748e+06, -2.14748e+06
14950000.000, -7.47940e+01, -2.14748e+06, -2.14748e+06
15000000.000, -7.47900e+01, -2.14748e+06, -2.14748e+06
15050000.000, -7.47750e+01, -2.14748e+06, -2.14748e+06
15100000.000, -7.47820e+01, -2.14748e+06, -2.14748e+06
15150000.000, -7.48520e+01, -2.14748e+06, -2.14748e+06
15200000.000, -7.49390e+01, -2.14748e+06, -2.14748e+06
15250000.000, -7.51620e+01, -2.14748e+06, -2.14748e+06
15300000.000, -7.48150e+01, -2.14748e+06, -2.14748e+06
15350000.000, -7.47400e+01, -2.14748e+06, -2.14748e+06
15400000.000, -7.47390e+01, -2.14748e+06, -2.14748e+06
15450000.000, -7.47400e+01, -2.14748e+06, -2.14748e+06
15500000.000, -7.47990e+01, -2.14748e+06, -2.14748e+06
15550000.000, -7.47190e+01, -2.14748e+06, -2.14748e+06
15600000.000, -7.47330e+01, -2.14748e+06, -2.14748e+06
15650000.000, -7.45990e+01, -2.14748e+06, -2.14748e+06
15700000.000, -7.47830e+01, -2.14748e+06, -2.14748e+06
15750000.000, -7.46590e+01, -2.14748e+06, -2.14748e+06
15800000.000, -7.46400e+01, -2.14748e+06, -2.14748e+06
15850000.000, -7.48210e+01, -2.14748e+06, -2.14748e+06
15900000.000, -7.48060e+01, -2.14748e+06, -2.14748e+06
15950000.000, -7.47920e+01, -2.14748e+06, -2.14748e+06
16000000.000, -7.47040e+01, -2.14748e+06, -2.14748e+06
16050000.000, -7.44370e+01, -2.14748e+06, -2.14748e+06
16100000.000, -7.46030e+01, -2.14748e+06, -2.14748e+06
16150000.000, -7.45950e+01, -2.14748e+06, -2.14748e+06
16200000.000, -7.48160e+01, -2.14748e+06, -2.14748e+06
16250000.000, -7.46380e+01, -2.14748e+06, -2.14748e+06
16300000.000, -7.46450e+01, -2.14748e+06, -2.14748e+06
16350000.000, -7.46940e+01, -2.14748e+06, -2.14748e+06
16400000.000, -7.46680e+01, -2.14748e+06, -2.14748e+06
16450000.000, -7.48040e+01, -2.14748e+06, -2.14748e+06
16500000.000, -7.47300e+01, -2.14748e+06, -2.14748e+06
16550000.000, -7.45310e+01, -2.14748e+06, -2.14748e+06
16600000.000, -7.48300e+01, -2.14748e+06, -2.14748e+06
16650000.000, -7.45470e+01, -2.14748e+06, -2.14748e+06
16700000.000, -7.47620e+01, -2.14748e+06, -2.14748e+06
16750000.000, -7.47240e+01, -2.14748e+06, -2.14748e+06
16800000.000, -7.46950e+01, -2.14748e+06, -2.14748e+06
16850000.000, -7.47970e+01, -2.14748e+06, -2.14748e+06
16900000.000, -7.47750e+01, -2.14748e+06, -2.14748e+06
16950000.000, -7.46050e+01, -2.14748e+06, -2.14748e+06
17000000.000, -7.47390e+01, -2.14748e+06, -2.14748e+06
17050000.000, -7.46350e+01, -2.14748e+06, -2.14748e+06
17100000.000, -7.47790e+01, -2.14748e+06, -2.14748e+06
17150000.000, -7.47800e+01, -2.14748e+06, -2.14748e+06
17200000.000, -7.50110e+01, -2.14748e+06, -2.14748e+06
17250000.000, -7.47590e+01, -2.14748e+06, -2.14748e+06
17300000.000, -7.46960e+01, -2.14748e+06, -2.14748e+06
